"X","Y"
15.69372,13.87902
13.83759,11.05554
11.67728,10.47627
16.07268,14.29056
12.59532,10.98533
15.35726,11.29407
16.284,14.36028
12.50162,12.06644
15.65,12.90427
11.54975,12.56442
14.21522,12.068
16.25294,10.09349
13.62379,11.20419
12.61527,10.3553
11.65745,11.17163
8.771104,10.94251
10.9025,14.69996
11.61652,11.05411
13.03883,11.24061
13.70734,11.29599
11.06231,11.75703
14.57227,12.29128
10.43663,11.56376
13.1377,12.28358
11.87974,14.16151
13.33869,10.33806
9.854939,12.17599
12.74439,12.84671
9.285564,10.63081
11.59055,9.53944
13.1202,12.3159
11.40942,10.99734
13.63869,11.5084
11.76579,13.61152
16.26833,14.38156
8.73591,12.05172
15.74913,12.16057
12.18563,11.40151
14.78633,14.09387
13.45084,8.860812
15.73667,12.94093
11.91194,14.17201
12.5272,12.7851
14.3738,13.07674
12.21672,14.14109
15.28043,11.42152
11.53864,10.75491
9.046618,11.20749
10.75256,8.843783
14.9461,10.10509
13.22677,11.90959
13.41574,8.835455
14.35785,12.03667
12.20415,11.37017
12.00341,14.56914
13.58721,11.60537
8.757473,12.02333
13.38881,10.9706
12.57046,12.79843
15.56334,14.17455
12.52108,12.03208
12.40901,11.34986
12.36903,11.4156
13.44909,12.60106
12.03297,11.36891
9.944605,11.83905
12.14346,13.6315
14.40612,13.09598
15.70642,12.9274
13.75891,11.14193
11.44538,10.93066
13.7965,14.16886
15.57711,11.30424
14.99393,10.24519
14.1129,13.12017
13.17422,9.835811
13.26078,12.96562
10.93261,12.03151
12.14729,9.951969
13.95731,13.88316
11.26415,10.80238
13.42597,12.96798
13.51533,12.48783
14.7689,11.9578
12.9731,10.95023
12.42551,11.31754
12.34805,14.77593
13.10475,12.3512
14.77894,13.19966
9.813148,12.50214
14.14413,10.57392
12.03469,14.58466
16.09884,14.23706
12.68321,11.28437
14.69502,10.12684
8.840331,12.13417
10.54701,12.32713
12.24902,14.15759
11.73556,13.59899
8.280715,11.56829
12.38503,13.21802
16.73377,8.447514
15.72296,7.17813
16.08321,14.26035
14.27252,10.4667
9.736776,12.35915
13.28041,12.94127
16.06733,9.970328
14.35376,10.35223
13.40536,10.94129
14.51969,9.029811
14.57164,11.38928
13.71177,13.9442
16.23636,14.1988
16.25586,14.41581
12.80755,14.28284
13.3605,11.94751
11.17751,8.616005
11.64155,12.17337
14.73854,11.93963
9.423313,10.79384
9.466473,10.73907
15.71121,11.60836
14.26207,12.49088
14.18834,13.43268
11.48419,10.41928
15.02863,10.36174
13.08718,12.37853
10.95782,12.04313
11.939,14.17458
13.48189,8.887023
14.06296,13.09025
10.94726,16.4859
14.20514,9.438095
10.38407,11.159
15.60473,11.31529
11.27275,11.46122
13.02248,9.609664
13.57891,13.14179
11.07647,11.64163
14.5969,11.4039
15.24637,8.629816
13.36475,10.36409
16.14358,10.90531
14.299,10.43223
16.41171,14.39729
12.59053,14.97835
13.25468,10.81906
10.99315,12.06159
10.10162,10.64977
15.62137,12.55621
14.21592,13.44473
13.36865,12.51622
10.77831,11.64841
13.17832,10.61175
13.80602,12.6384
11.42396,10.96806
12.91849,9.794238
13.60765,11.07225
13.33782,14.33142
12.16919,11.43683
14.36735,10.32597
8.863929,12.10775
15.54189,14.20994
14.3156,10.40692
10.02774,11.28289
13.20859,14.26238
10.48503,12.45631
9.53302,10.64486
10.43369,11.19426
10.92631,14.62447
13.3186,11.02381
12.6148,10.95197
13.08049,14.20134
11.64594,10.45675
13.56385,10.07179
13.37551,13.06693
13.7367,11.13027
10.68826,12.45906
12.18764,14.13755
13.96921,13.32231
14.77023,9.210511
15.08261,10.12219
16.23659,9.914474
15.31356,11.4458
12.54972,11.07519
14.65652,11.439
12.53218,11.10452
10.91304,14.67075
15.67918,12.91381
11.65278,12.62286
9.501461,11.54471
13.26943,14.79979
13.61611,15.32844
13.43057,10.2633
13.48013,12.53947
11.07184,11.10491
12.92878,10.93291
12.84456,16.01885
15.31608,9.794086
12.78222,11.34187
9.207745,11.08172
14.37433,12.00336
15.58141,10.92052
10.40739,11.17765
12.98045,10.66068
13.24918,11.87218
10.96288,9.745629
13.51754,11.0086
9.582069,10.58299
14.53736,10.6277
12.51176,11.1419
10.71447,12.47066
13.3154,12.87661
9.378991,10.9628
13.37906,11.91917
13.52166,11.13973
13.49601,11.03899
13.63715,9.099265
14.26445,15.6235
9.556584,10.61644
14.07245,15.51041
12.94471,13.7879
15.41332,13.8084
13.78938,12.6617
11.41806,9.855504
12.39045,11.3782
12.74481,11.31843
13.58522,11.48222
14.08854,13.10222
15.06661,10.14866
15.27804,13.55018
14.67613,10.15019
13.37922,12.48901
12.27691,11.91081
14.33308,10.37359
12.42151,11.56698
12.06085,10.30288
12.43804,11.53667
15.05064,10.17412
17.27166,11.6338
12.4261,11.91442
15.01817,12.51581
